start_lat,start_lng,end_lat,end_lng,tavg,tmin,tmax,prcp,wdir,wspd,pres,Holiday,trip_time,distance_traveled,average_speed,hour,start_station_cluster,end_station_cluster,member_casual_member,rideable_type_electric_bike,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,wind_direction_North,wind_direction_South,wind_direction_West,day_of_the_week_Monday,day_of_the_week_Saturday,day_of_the_week_Sunday,day_of_the_week_Thursday,day_of_the_week_Tuesday,day_of_the_week_Wednesday
37.792979854977766,-122.4233016371727,37.7864555,-122.399749,11.6,8.3,14.4,0.0,339.0,7.6,1024.3,0,9.833333333333334,2.19311929095991,13.381744826196062,19,18,16,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
37.792979854977766,-122.4233016371727,37.7864555,-122.399749,11.8,8.3,17.2,0.0,109.0,7.2,1022.2,0,11.133333333333333,2.19311929095991,11.819205759664186,15,18,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37.7630152,-122.4264968,37.7789994,-122.4368608,11.6,10.0,13.9,0.0,220.0,14.8,1014.8,0,20.633333333333333,1.9972098860234488,5.807718570019722,20,3,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37.808715,-122.2492512,37.8539069616438,-122.2896981239319,10.6,7.2,14.4,0.0,312.0,8.6,1021.4,0,34.666666666666664,6.153859747118045,10.650911100781231,16,9,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
37.7630152,-122.4264968,37.774017937683546,-122.4238085746765,11.8,6.1,17.8,0.0,48.0,3.6,1024.8,0,11.55,1.2460578368463366,6.473027723877073,17,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.86641794050319,-122.25379943847656,37.8677892,-122.2658964,12.6,10.6,15.0,0.0,15.0,3.6,1019.4,0,4.683333333333334,1.0727789006130042,13.743786627070516,0,14,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
37.761376166666665,-122.42648583333332,37.7730627,-122.4390777,11.3,6.7,15.6,0.0,346.0,5.8,1022.9,0,9.183333333333334,1.7069634203752293,11.152574071417106,12,3,7,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
37.7614435,-122.42659466666667,37.7730627,-122.4390777,10.7,5.0,17.8,0.0,16.0,3.2,1023.2,0,7.75,1.6950619273459433,13.12306008267827,10,3,7,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
37.763018333333335,-122.42651783333334,37.7567083,-122.421025,11.5,6.7,14.4,0.0,43.0,4.7,1024.6,0,3.3833333333333333,0.8517432363761616,15.10480616233587,19,3,17,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37.76305466666667,-122.42652916666668,37.774814,-122.418954,6.2,1.7,11.7,0.0,158.0,6.8,1024.4,0,8.15,1.46734727451664,10.802556622208392,13,3,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
