date,start_station_cluster,rideable_type,trip_count
2022/1/1,0,classic_bike,94
2022/1/1,0,electric_bike,196
2022/1/1,1,classic_bike,11
2022/1/1,1,electric_bike,8
2022/1/1,2,classic_bike,37
2022/1/1,3,classic_bike,118
2022/1/1,3,electric_bike,262
2022/1/1,4,classic_bike,65
2022/1/1,4,electric_bike,97
2022/1/1,6,electric_bike,8
2022/1/1,7,classic_bike,113
2022/1/1,7,electric_bike,201
2022/1/1,8,classic_bike,22
2022/1/1,8,electric_bike,11
2022/1/1,9,classic_bike,43
2022/1/1,10,classic_bike,21
2022/1/1,11,classic_bike,183
2022/1/1,11,electric_bike,285
2022/1/1,12,classic_bike,25
2022/1/1,13,classic_bike,11
2022/1/1,13,electric_bike,13
2022/1/1,14,classic_bike,60
2022/1/1,15,electric_bike,2
2022/1/1,16,classic_bike,172
2022/1/1,16,electric_bike,240
2022/1/1,17,classic_bike,76
2022/1/1,17,electric_bike,944
2022/1/1,18,classic_bike,65
2022/1/1,18,electric_bike,158
2022/1/1,19,classic_bike,14
2022/1/1,19,electric_bike,7
2022/1/2,0,classic_bike,111
2022/1/2,0,electric_bike,194
2022/1/2,1,classic_bike,14
2022/1/2,1,electric_bike,6
2022/1/2,2,classic_bike,43
2022/1/2,3,classic_bike,98
2022/1/2,3,electric_bike,243
2022/1/2,4,classic_bike,54
2022/1/2,4,electric_bike,91
2022/1/2,6,classic_bike,1
2022/1/2,6,electric_bike,5
2022/1/2,7,classic_bike,88
2022/1/2,7,electric_bike,177
2022/1/2,8,classic_bike,8
2022/1/2,8,electric_bike,16
2022/1/2,9,classic_bike,53
2022/1/2,10,classic_bike,23
2022/1/2,11,classic_bike,187
2022/1/2,11,electric_bike,235
2022/1/2,12,classic_bike,29
2022/1/2,13,classic_bike,18
2022/1/2,13,electric_bike,15
2022/1/2,14,classic_bike,71
2022/1/2,15,classic_bike,1
2022/1/2,16,classic_bike,174
2022/1/2,16,electric_bike,183
2022/1/2,17,classic_bike,76
2022/1/2,17,electric_bike,791
2022/1/2,18,classic_bike,48
2022/1/2,18,electric_bike,119
2022/1/2,19,classic_bike,9
2022/1/2,19,electric_bike,19
2022/1/3,0,classic_bike,125
2022/1/3,0,electric_bike,227
2022/1/3,1,classic_bike,8
2022/1/3,1,electric_bike,8
2022/1/3,2,classic_bike,37
2022/1/3,3,classic_bike,93
2022/1/3,3,electric_bike,179
2022/1/3,4,classic_bike,7
2022/1/3,4,electric_bike,35
2022/1/3,5,classic_bike,3
2022/1/3,6,classic_bike,5
2022/1/3,6,electric_bike,2
2022/1/3,7,classic_bike,44
2022/1/3,7,electric_bike,121
2022/1/3,8,classic_bike,2
2022/1/3,8,electric_bike,8
2022/1/3,9,classic_bike,36
2022/1/3,10,classic_bike,13
2022/1/3,11,classic_bike,124
2022/1/3,11,electric_bike,273
2022/1/3,12,classic_bike,15
2022/1/3,13,classic_bike,17
2022/1/3,13,electric_bike,24
